index,HeartRate_bpm,Temperature_C,SpO2_percent,MotionLevel,State
143,79.0,36.6,100.0,1.0,Awake/Idle
144,62.0,36.9,99.0,2.0,Awake/Idle
145,79.0,36.8,99.0,2.0,Awake/Idle
146,71.0,36.7,95.0,3.0,Awake/Idle
147,67.0,36.8,100.0,3.0,Awake/Idle
148,75.0,36.9,96.0,3.0,Awake/Idle
149,66.0,36.5,98.0,3.0,Awake/Idle
150,76.0,36.6,95.0,3.0,Awake/Idle
151,68.0,36.6,97.0,2.0,Awake/Idle
152,68.0,36.7,98.0,1.0,Awake/Idle
153,69.0,36.9,96.0,1.0,Awake/Idle
154,78.0,36.7,98.0,3.0,Awake/Idle
155,64.0,37.0,97.0,2.0,Awake/Idle
156,69.0,36.8,99.0,3.0,Awake/Idle
157,62.0,36.8,97.0,3.0,Awake/Idle
158,68.0,36.5,98.0,3.0,Awake/Idle
159,72.0,37.0,98.0,2.0,Awake/Idle
160,62.0,36.7,97.0,1.0,Awake/Idle
161,60.0,36.6,95.0,1.0,Awake/Idle
162,62.0,36.7,99.0,2.0,Awake/Idle
163,62.0,36.7,99.0,3.0,Awake/Idle
164,68.0,36.7,99.0,3.0,Awake/Idle
165,79.0,37.0,100.0,2.0,Awake/Idle
166,60.0,36.5,100.0,1.0,Awake/Idle
167,76.0,36.6,96.0,3.0,Awake/Idle
168,72.0,36.5,98.0,2.0,Awake/Idle
169,78.0,36.7,98.0,2.0,Awake/Idle
170,62.0,36.7,95.0,3.0,Awake/Idle
171,65.0,36.7,96.0,2.0,Awake/Idle
172,72.0,36.8,98.0,2.0,Awake/Idle
173,65.0,36.9,98.0,3.0,Awake/Idle
174,78.0,36.6,96.0,2.0,Awake/Idle
175,61.0,37.0,97.0,2.0,Awake/Idle
176,67.0,36.8,98.0,3.0,Awake/Idle
177,70.0,36.9,98.0,1.0,Awake/Idle
178,62.0,37.0,97.0,2.0,Awake/Idle
179,69.0,36.8,97.0,1.0,Awake/Idle
180,66.0,36.7,96.0,2.0,Awake/Idle
181,61.0,36.8,96.0,2.0,Awake/Idle
182,78.0,37.0,99.0,1.0,Awake/Idle
183,64.0,36.6,95.0,2.0,Awake/Idle
184,67.0,37.0,97.0,3.0,Awake/Idle
185,73.0,36.9,96.0,3.0,Awake/Idle
186,75.0,37.0,98.0,2.0,Awake/Idle
187,62.0,36.7,95.0,1.0,Awake/Idle
188,73.0,36.8,100.0,1.0,Awake/Idle
189,64.0,36.9,98.0,3.0,Awake/Idle
190,63.0,36.5,98.0,3.0,Awake/Idle
191,62.0,36.9,100.0,3.0,Awake/Idle
192,62.0,36.6,100.0,1.0,Awake/Idle
193,73.0,36.9,96.0,3.0,Awake/Idle
194,67.0,36.7,95.0,3.0,Awake/Idle
195,65.0,36.9,97.0,1.0,Awake/Idle
196,77.0,36.7,100.0,2.0,Awake/Idle
197,74.0,36.8,95.0,2.0,Awake/Idle
198,65.0,36.6,96.0,2.0,Awake/Idle
199,74.0,36.9,100.0,2.0,Awake/Idle
200,71.0,36.5,95.0,1.0,Awake/Idle
201,79.0,36.5,97.0,3.0,Awake/Idle
202,64.0,36.9,99.0,3.0,Awake/Idle
203,70.0,36.7,97.0,1.0,Awake/Idle
204,78.0,36.5,100.0,3.0,Awake/Idle
205,75.0,37.0,96.0,2.0,Awake/Idle
206,61.0,36.6,98.0,3.0,Awake/Idle
207,62.0,36.9,95.0,1.0,Awake/Idle
208,74.0,36.7,98.0,3.0,Awake/Idle
209,71.0,36.6,100.0,2.0,Awake/Idle
210,79.0,37.0,98.0,2.0,Awake/Idle
211,70.0,36.9,99.0,2.0,Awake/Idle
212,73.0,37.0,100.0,3.0,Awake/Idle
213,65.0,36.5,98.0,1.0,Awake/Idle
214,72.0,36.7,97.0,1.0,Awake/Idle
215,69.0,36.9,99.0,2.0,Awake/Idle
216,79.0,36.7,96.0,3.0,Awake/Idle
217,72.0,36.6,95.0,3.0,Awake/Idle
218,68.0,36.9,99.0,3.0,Awake/Idle
219,80.0,36.6,99.0,3.0,Awake/Idle
220,72.0,36.9,100.0,2.0,Awake/Idle
221,76.0,36.9,99.0,2.0,Awake/Idle
222,79.0,36.8,98.0,1.0,Awake/Idle
223,66.0,36.7,96.0,3.0,Awake/Idle
224,70.0,36.7,96.0,1.0,Awake/Idle
225,76.0,37.0,98.0,3.0,Awake/Idle
226,76.0,37.0,99.0,2.0,Awake/Idle
227,79.0,36.7,95.0,1.0,Awake/Idle
228,66.0,36.7,95.0,2.0,Awake/Idle
229,73.0,36.9,99.0,3.0,Awake/Idle
230,79.0,36.9,99.0,3.0,Awake/Idle
231,69.0,37.0,100.0,2.0,Awake/Idle
232,74.0,36.7,96.0,3.0,Awake/Idle
233,80.0,36.7,99.0,3.0,Awake/Idle
234,75.0,36.9,95.0,2.0,Awake/Idle
235,62.0,36.6,96.0,3.0,Awake/Idle
236,69.0,36.8,99.0,3.0,Awake/Idle
237,69.0,37.0,95.0,1.0,Awake/Idle
238,75.0,36.7,99.0,2.0,Awake/Idle
239,75.0,36.5,100.0,3.0,Awake/Idle
240,78.0,36.5,100.0,1.0,Awake/Idle
241,70.0,36.5,100.0,3.0,Awake/Idle
242,62.0,36.6,98.0,3.0,Awake/Idle
243,64.0,36.6,100.0,3.0,Awake/Idle
244,72.0,36.8,100.0,1.0,Awake/Idle
245,74.0,36.7,95.0,3.0,Awake/Idle
246,67.0,36.9,99.0,2.0,Awake/Idle
247,71.0,36.8,96.0,1.0,Awake/Idle
248,71.0,36.9,97.0,2.0,Awake/Idle
249,71.0,36.7,99.0,1.0,Awake/Idle
250,67.0,36.9,98.0,1.0,Awake/Idle
251,77.0,36.9,97.0,2.0,Awake/Idle
252,67.0,36.7,100.0,2.0,Awake/Idle
253,69.0,36.5,99.0,3.0,Awake/Idle
254,76.0,36.6,100.0,1.0,Awake/Idle
255,73.0,36.7,95.0,2.0,Awake/Idle
256,74.0,36.6,98.0,2.0,Awake/Idle
257,72.0,36.7,98.0,1.0,Awake/Idle
258,63.0,36.6,99.0,2.0,Awake/Idle
259,62.0,36.8,97.0,1.0,Awake/Idle
260,67.0,36.9,98.0,1.0,Awake/Idle
261,72.0,36.5,95.0,3.0,Awake/Idle
262,68.0,36.8,95.0,1.0,Awake/Idle
263,61.0,36.8,95.0,2.0,Awake/Idle
264,80.0,36.5,96.0,3.0,Awake/Idle
265,64.0,36.7,99.0,2.0,Awake/Idle
266,63.0,36.6,97.0,2.0,Awake/Idle
267,65.0,36.6,99.0,2.0,Awake/Idle
268,61.0,36.7,98.0,1.0,Awake/Idle
269,67.0,37.0,96.0,3.0,Awake/Idle
270,75.0,36.8,100.0,3.0,Awake/Idle
271,74.0,36.9,97.0,3.0,Awake/Idle
272,69.0,36.8,100.0,3.0,Awake/Idle
273,63.0,36.8,97.0,1.0,Awake/Idle
274,66.0,37.0,99.0,2.0,Awake/Idle
275,72.0,36.9,100.0,1.0,Awake/Idle
276,76.0,36.7,98.0,3.0,Awake/Idle
277,69.0,36.8,95.0,2.0,Awake/Idle
278,77.0,36.5,98.0,1.0,Awake/Idle
279,63.0,36.6,98.0,1.0,Awake/Idle
280,61.0,36.8,100.0,1.0,Awake/Idle
281,62.0,37.0,100.0,1.0,Awake/Idle
282,62.0,36.7,96.0,1.0,Awake/Idle
283,64.0,36.9,96.0,1.0,Awake/Idle
284,74.0,36.8,95.0,1.0,Awake/Idle
285,74.0,36.7,100.0,1.0,Awake/Idle
286,73.0,36.6,96.0,3.0,Awake/Idle
287,61.0,36.9,96.0,1.0,Awake/Idle
288,64.0,36.8,100.0,1.0,Awake/Idle
289,60.0,36.8,95.0,1.0,Awake/Idle
290,76.0,36.5,96.0,1.0,Awake/Idle
291,75.0,37.0,97.0,3.0,Awake/Idle
292,60.0,36.9,98.0,3.0,Awake/Idle
293,64.0,37.0,95.0,1.0,Awake/Idle
294,70.0,36.7,100.0,3.0,Awake/Idle
295,62.0,36.5,97.0,3.0,Awake/Idle
296,63.0,36.9,100.0,2.0,Awake/Idle
297,73.0,36.5,97.0,1.0,Awake/Idle
298,64.0,36.9,97.0,3.0,Awake/Idle
299,71.0,36.5,98.0,3.0,Awake/Idle
300,62.0,36.6,99.0,2.0,Awake/Idle
301,69.0,36.8,96.0,3.0,Awake/Idle
302,79.0,36.7,100.0,3.0,Awake/Idle
303,77.0,36.9,98.0,2.0,Awake/Idle
304,68.0,37.0,98.0,3.0,Awake/Idle
305,72.0,36.9,100.0,3.0,Awake/Idle
306,77.0,36.8,96.0,2.0,Awake/Idle
307,77.0,36.5,100.0,1.0,Awake/Idle
308,77.0,36.9,100.0,1.0,Awake/Idle
309,72.0,36.5,97.0,2.0,Awake/Idle
310,78.0,36.8,100.0,1.0,Awake/Idle
311,74.0,36.6,100.0,2.0,Awake/Idle
312,60.0,36.7,99.0,1.0,Awake/Idle
313,65.0,36.8,97.0,2.0,Awake/Idle
314,71.0,36.8,100.0,2.0,Awake/Idle
315,70.0,36.9,95.0,1.0,Awake/Idle
316,71.0,36.6,98.0,2.0,Awake/Idle
317,67.0,36.7,100.0,2.0,Awake/Idle
318,67.0,36.8,100.0,3.0,Awake/Idle
319,77.0,37.0,99.0,1.0,Awake/Idle
320,66.0,36.7,97.0,1.0,Awake/Idle
321,64.0,36.7,100.0,2.0,Awake/Idle
322,61.0,36.9,95.0,2.0,Awake/Idle
323,75.0,36.9,98.0,1.0,Awake/Idle
324,65.0,36.7,97.0,2.0,Awake/Idle
325,66.0,36.7,95.0,1.0,Awake/Idle
326,73.0,36.7,99.0,2.0,Awake/Idle
327,61.0,36.9,97.0,3.0,Awake/Idle
328,66.0,36.7,97.0,1.0,Awake/Idle
329,73.0,36.9,95.0,1.0,Awake/Idle
330,74.0,37.0,100.0,3.0,Awake/Idle
331,70.0,36.9,100.0,3.0,Awake/Idle
332,66.0,36.8,100.0,1.0,Awake/Idle
333,72.0,36.6,95.0,3.0,Awake/Idle
334,79.0,36.7,97.0,1.0,Awake/Idle
335,78.0,36.9,99.0,2.0,Awake/Idle
336,66.0,37.0,100.0,3.0,Awake/Idle
337,72.0,36.8,97.0,2.0,Awake/Idle
338,71.0,36.9,99.0,3.0,Awake/Idle
339,78.0,36.6,95.0,3.0,Awake/Idle
340,75.0,36.9,95.0,3.0,Awake/Idle
341,70.0,36.8,95.0,1.0,Awake/Idle
342,60.0,36.7,95.0,3.0,Awake/Idle
343,60.0,36.7,99.0,2.0,Awake/Idle
344,68.0,36.8,99.0,2.0,Awake/Idle
345,72.0,36.7,96.0,3.0,Awake/Idle
346,67.0,36.5,99.0,3.0,Awake/Idle
347,62.0,36.5,99.0,2.0,Awake/Idle
348,78.0,36.8,97.0,3.0,Awake/Idle
349,80.0,36.6,96.0,3.0,Awake/Idle
350,70.0,36.9,96.0,2.0,Awake/Idle
351,67.0,36.6,100.0,3.0,Awake/Idle
352,79.0,37.0,97.0,3.0,Awake/Idle
353,64.0,37.0,96.0,1.0,Awake/Idle
354,79.0,37.0,96.0,3.0,Awake/Idle
355,80.0,36.7,96.0,3.0,Awake/Idle
356,80.0,36.8,99.0,2.0,Awake/Idle
357,73.0,36.8,96.0,3.0,Awake/Idle
358,72.0,36.7,100.0,3.0,Awake/Idle
359,61.0,37.0,96.0,2.0,Awake/Idle
360,63.0,36.6,96.0,1.0,Awake/Idle
361,76.0,36.8,95.0,1.0,Awake/Idle
362,73.0,36.9,100.0,3.0,Awake/Idle
363,68.0,36.9,96.0,2.0,Awake/Idle
364,80.0,36.8,99.0,2.0,Awake/Idle
365,76.0,36.9,95.0,1.0,Awake/Idle
366,75.0,36.9,100.0,2.0,Awake/Idle
367,63.0,36.9,97.0,2.0,Awake/Idle
368,77.0,36.6,97.0,1.0,Awake/Idle
369,73.0,37.0,100.0,3.0,Awake/Idle
370,80.0,36.6,99.0,2.0,Awake/Idle
371,63.0,36.6,96.0,2.0,Awake/Idle
372,74.0,36.9,98.0,2.0,Awake/Idle
373,64.0,37.0,99.0,2.0,Awake/Idle
374,66.0,36.7,99.0,1.0,Awake/Idle
375,63.0,37.0,97.0,3.0,Awake/Idle
376,68.0,36.9,95.0,2.0,Awake/Idle
377,67.0,36.7,98.0,2.0,Awake/Idle
378,63.0,36.8,100.0,3.0,Awake/Idle
379,79.0,36.9,100.0,3.0,Awake/Idle
380,74.0,36.5,100.0,3.0,Awake/Idle
381,61.0,36.6,95.0,3.0,Awake/Idle
382,74.0,36.9,97.0,1.0,Awake/Idle
383,77.0,36.5,98.0,1.0,Awake/Idle
384,76.0,36.9,95.0,3.0,Awake/Idle
385,73.0,36.9,98.0,3.0,Awake/Idle
386,70.0,36.8,96.0,3.0,Awake/Idle
387,68.0,36.8,99.0,3.0,Awake/Idle
388,62.0,36.6,100.0,1.0,Awake/Idle
389,66.0,36.6,97.0,3.0,Awake/Idle
390,73.0,36.8,98.0,1.0,Awake/Idle
391,77.0,36.7,98.0,3.0,Awake/Idle
392,69.0,36.7,97.0,2.0,Awake/Idle
393,62.0,36.6,95.0,1.0,Awake/Idle
394,60.0,37.0,100.0,2.0,Awake/Idle
395,73.0,36.8,95.0,1.0,Awake/Idle
396,70.0,37.0,98.0,3.0,Awake/Idle
397,63.0,36.9,98.0,1.0,Awake/Idle
398,61.0,36.9,98.0,3.0,Awake/Idle
399,62.0,36.9,95.0,3.0,Awake/Idle
400,63.0,36.5,98.0,2.0,Awake/Idle
401,75.0,36.8,98.0,2.0,Awake/Idle
402,75.0,36.7,99.0,3.0,Awake/Idle
403,73.0,36.9,99.0,1.0,Awake/Idle
404,74.0,36.7,95.0,2.0,Awake/Idle
405,75.0,36.6,97.0,1.0,Awake/Idle
406,79.0,36.9,95.0,3.0,Awake/Idle
407,72.0,36.8,98.0,2.0,Awake/Idle
408,77.0,36.9,96.0,1.0,Awake/Idle
409,72.0,36.7,99.0,3.0,Awake/Idle
410,69.0,36.8,98.0,1.0,Awake/Idle
411,77.0,36.9,99.0,3.0,Awake/Idle
412,77.0,36.5,95.0,1.0,Awake/Idle
413,80.0,37.0,99.0,2.0,Awake/Idle
414,75.0,36.9,98.0,3.0,Awake/Idle
415,80.0,37.0,99.0,1.0,Awake/Idle
416,66.0,36.9,100.0,1.0,Awake/Idle
417,72.0,37.0,99.0,2.0,Awake/Idle
418,78.0,36.6,99.0,2.0,Awake/Idle
419,71.0,36.6,97.0,2.0,Awake/Idle
420,60.0,37.0,95.0,2.0,Awake/Idle
421,71.0,36.7,100.0,3.0,Awake/Idle
422,61.0,36.8,95.0,1.0,Awake/Idle
423,77.0,36.7,99.0,3.0,Awake/Idle
424,70.0,36.9,95.0,3.0,Awake/Idle
425,77.0,36.8,97.0,1.0,Awake/Idle
426,67.0,36.6,95.0,2.0,Awake/Idle
427,78.0,36.9,95.0,2.0,Awake/Idle
428,66.0,36.7,100.0,1.0,Awake/Idle
429,69.0,36.6,100.0,3.0,Awake/Idle
430,73.0,36.7,95.0,2.0,Awake/Idle
431,70.0,36.7,95.0,2.0,Awake/Idle
432,64.0,37.0,95.0,1.0,Awake/Idle
433,65.0,36.7,100.0,2.0,Awake/Idle
434,64.0,36.7,100.0,1.0,Awake/Idle
435,62.0,36.8,98.0,3.0,Awake/Idle
436,77.0,36.9,95.0,1.0,Awake/Idle
437,76.0,36.8,95.0,3.0,Awake/Idle
438,75.0,36.8,100.0,1.0,Awake/Idle
439,60.0,36.9,96.0,2.0,Awake/Idle
440,61.0,36.7,99.0,2.0,Awake/Idle
441,66.0,36.8,98.0,1.0,Awake/Idle
442,74.0,36.9,96.0,3.0,Awake/Idle
443,67.0,36.7,97.0,2.0,Awake/Idle
444,80.0,36.6,96.0,2.0,Awake/Idle
445,65.0,36.5,100.0,2.0,Awake/Idle
446,79.0,36.5,95.0,2.0,Awake/Idle
447,60.0,36.8,100.0,1.0,Awake/Idle
448,69.0,36.7,96.0,3.0,Awake/Idle
449,78.0,36.8,97.0,3.0,Awake/Idle
450,71.0,36.9,97.0,1.0,Awake/Idle
451,69.0,36.5,100.0,2.0,Awake/Idle
452,63.0,36.9,98.0,3.0,Awake/Idle
453,80.0,37.0,96.0,3.0,Awake/Idle
454,71.0,36.7,97.0,2.0,Awake/Idle
455,70.0,36.7,100.0,1.0,Awake/Idle
456,61.0,36.6,100.0,1.0,Awake/Idle
457,71.0,36.6,96.0,3.0,Awake/Idle
458,71.0,36.7,100.0,3.0,Awake/Idle
459,67.0,36.8,95.0,2.0,Awake/Idle
460,61.0,36.6,99.0,3.0,Awake/Idle
461,69.0,36.9,100.0,1.0,Awake/Idle
462,79.0,36.8,95.0,2.0,Awake/Idle
463,75.0,36.8,99.0,3.0,Awake/Idle
464,69.0,36.6,98.0,2.0,Awake/Idle
465,69.0,36.9,98.0,2.0,Awake/Idle
466,65.0,37.0,99.0,1.0,Awake/Idle
467,61.0,36.9,100.0,1.0,Awake/Idle
468,64.0,36.5,95.0,1.0,Awake/Idle
469,80.0,36.6,95.0,1.0,Awake/Idle
470,72.0,36.7,95.0,3.0,Awake/Idle
471,69.0,36.9,95.0,3.0,Awake/Idle
472,73.0,36.8,100.0,1.0,Awake/Idle
473,72.0,36.9,100.0,2.0,Awake/Idle
474,71.0,36.6,95.0,1.0,Awake/Idle
475,74.0,36.7,98.0,1.0,Awake/Idle
476,77.0,37.0,100.0,1.0,Awake/Idle
477,79.0,36.7,99.0,1.0,Awake/Idle
478,71.0,36.6,99.0,2.0,Awake/Idle
479,73.0,36.7,100.0,1.0,Awake/Idle
480,77.0,36.9,99.0,3.0,Awake/Idle
481,73.0,36.8,97.0,2.0,Awake/Idle
482,71.0,36.8,96.0,1.0,Awake/Idle
483,79.0,37.0,95.0,2.0,Awake/Idle
484,77.0,36.6,95.0,1.0,Awake/Idle
485,62.0,36.6,98.0,2.0,Awake/Idle
486,73.0,36.6,97.0,2.0,Awake/Idle
487,61.0,36.9,97.0,1.0,Awake/Idle
488,80.0,36.9,96.0,3.0,Awake/Idle
489,71.0,36.6,95.0,1.0,Awake/Idle
490,63.0,36.9,95.0,3.0,Awake/Idle
491,78.0,36.9,98.0,3.0,Awake/Idle
492,69.0,36.7,96.0,1.0,Awake/Idle
493,72.0,36.6,99.0,1.0,Awake/Idle
494,60.0,36.6,97.0,2.0,Awake/Idle
495,75.0,36.9,99.0,1.0,Awake/Idle
496,70.0,36.6,95.0,1.0,Awake/Idle
497,77.0,36.5,97.0,1.0,Awake/Idle
498,73.0,36.5,100.0,2.0,Awake/Idle
499,71.0,37.0,98.0,2.0,Awake/Idle
500,68.0,36.9,97.0,2.0,Awake/Idle
501,73.0,36.5,97.0,2.0,Awake/Idle
502,72.0,37.0,96.0,2.0,Awake/Idle
503,63.0,37.0,95.0,1.0,Awake/Idle
504,66.0,36.9,95.0,1.0,Awake/Idle
505,80.0,36.6,98.0,2.0,Awake/Idle
506,71.0,36.6,96.0,1.0,Awake/Idle
507,77.0,36.6,95.0,1.0,Awake/Idle
508,65.0,36.9,95.0,2.0,Awake/Idle
509,80.0,36.8,100.0,3.0,Awake/Idle
510,66.0,37.0,99.0,2.0,Awake/Idle
511,67.0,36.6,100.0,2.0,Awake/Idle
512,69.0,36.7,95.0,2.0,Awake/Idle
513,64.0,36.9,95.0,2.0,Awake/Idle
514,71.0,36.6,98.0,1.0,Awake/Idle
515,76.0,36.8,97.0,2.0,Awake/Idle
516,67.0,36.7,99.0,1.0,Awake/Idle
517,71.0,36.9,95.0,3.0,Awake/Idle
518,63.0,36.5,100.0,1.0,Awake/Idle
519,72.0,36.8,95.0,2.0,Awake/Idle
520,73.0,36.7,97.0,2.0,Awake/Idle
521,79.0,36.7,99.0,1.0,Awake/Idle
522,71.0,36.9,99.0,3.0,Awake/Idle
523,60.0,36.9,97.0,1.0,Awake/Idle
524,61.0,36.8,97.0,2.0,Awake/Idle
525,80.0,36.9,95.0,2.0,Awake/Idle
526,70.0,36.6,100.0,3.0,Awake/Idle
527,77.0,36.6,95.0,3.0,Awake/Idle
528,71.0,36.8,96.0,3.0,Awake/Idle
529,80.0,36.7,98.0,3.0,Awake/Idle
530,72.0,36.7,99.0,3.0,Awake/Idle
531,61.0,36.8,99.0,1.0,Awake/Idle
532,77.0,36.7,96.0,3.0,Awake/Idle
533,71.0,36.6,99.0,3.0,Awake/Idle
534,63.0,36.5,95.0,2.0,Awake/Idle
535,74.0,36.7,99.0,1.0,Awake/Idle
