bpm,temp,Oxyg,motion,State
90.3,36.95,97.3,5.4,Walking
151.8,37.52,94.4,9,Running
110.3,36.82,95,3,Stress/Panic
86.9,36.38,82.8,1.1,Hypoxia
117.7,36.92,94.7,3.1,Stress/Panic
95.1,36.94,97,4.9,Walking
103.4,37.26,97.6,2.3,Post-Workout
102,37.16,97.2,2.6,Post-Workout
56.8,36.3,97,0.5,Sleeping
98.2,36.92,97.8,6.2,Walking
94.2,36.98,96.9,5.8,Walking
118.1,36.95,94.9,4.2,Stress/Panic
70,36.7,98.1,1.7,Awake/Idle
42.6,35.96,90.1,0.4,Fainting
41.5,35.79,85.6,0.4,Unconscious
114.8,37.04,91,9.5,Seizure
106.5,37.25,96.8,2.2,Post-Workout
42.2,35.87,85.6,0.5,Unconscious
67.5,36.82,97.1,2,Awake/Idle
81.4,36.44,80.3,1.3,Hypoxia
112.3,37.12,91.2,9.5,Seizure
67.4,36.8,97.3,1.8,Awake/Idle
105,37.21,96.5,2.2,Post-Workout
93.5,36.95,98.5,6.1,Walking
41.2,35.7,88.1,0.3,Unconscious
108.6,37.18,97.2,2.2,Post-Workout
37.4,35.53,85.1,0.5,Unconscious
117.2,36.86,94.8,2.9,Stress/Panic
104.7,37.19,97.9,2.2,Post-Workout
114.8,36.87,91.4,9.5,Seizure
70.9,36.68,96.5,2.3,Awake/Idle
114.7,36.85,94.4,3.5,Stress/Panic
95.5,36.95,97.2,5.5,Walking
74,36.83,97.4,2.1,Awake/Idle
95.7,36.99,98.1,5.3,Walking
78.2,36.44,83,1.3,Hypoxia
74,36.75,97.6,2,Awake/Idle
68.3,36.73,97.9,1.4,Awake/Idle
49.6,36.03,91.2,0.4,Fainting
46.2,35.98,89.7,0.5,Fainting
101.7,37.34,97.4,2.1,Post-Workout
159.3,37.63,94.4,8.4,Running
71.3,36.74,97.8,2.3,Awake/Idle
113.1,36.87,94.4,2.6,Stress/Panic
115.7,36.96,92.6,9.7,Seizure
71.1,36.7,98.2,2.1,Awake/Idle
151.6,37.49,96.4,8.7,Running
102.9,37.32,97.2,1.9,Post-Workout
109.3,37.04,91.6,9.3,Seizure
107,37.27,97.3,1.8,Post-Workout
94,36.98,96.4,5.8,Walking
47.4,35.78,89.5,0.2,Fainting
55.2,36.32,97.4,0.6,Sleeping
103.4,37.24,97.4,1.8,Post-Workout
107.5,37.29,96.6,1.7,Post-Workout
112.6,36.97,90.6,9.3,Seizure
150.4,37.53,94.9,8.9,Running
57.1,36.78,98.2,0.3,Meditation
43.5,35.98,90.4,0.5,Fainting
71.8,36.85,98,1.8,Awake/Idle
56.8,36.72,97.3,0.5,Meditation
39.7,35.92,85.9,0.3,Unconscious
77,36.69,78.9,0.8,Hypoxia
114.3,36.98,94.7,3.1,Stress/Panic
92.5,36.95,97.5,5.6,Walking
58.4,36.34,98.6,0.5,Sleeping
54.8,36.35,98,0.6,Sleeping
94.8,36.9,98.3,5.5,Walking
39.6,35.84,89.4,0.4,Fainting
113.3,37.08,90.8,9.4,Seizure
48,36,89.4,0.4,Fainting
116,36.92,94.2,3,Stress/Panic
143.2,37.44,94.1,9.1,Running
116.6,36.98,91.4,9.6,Seizure
71,36.77,96.1,1.8,Awake/Idle
39,35.92,85.3,0.7,Unconscious
40.5,36.11,85.5,0.7,Unconscious
57.1,36.37,97.5,0.4,Sleeping
100.3,37.25,97,1.9,Post-Workout
106.7,37.05,92,9.7,Seizure
115.8,36.99,91.1,9.3,Seizure
37.4,35.66,83.8,0.7,Unconscious
41,35.75,86.9,0.7,Unconscious
70.8,36.72,98,2.1,Awake/Idle
104.1,37.27,97.4,2.1,Post-Workout
42,35.69,85.4,0.5,Unconscious
57.1,36.39,97.3,0.5,Sleeping
55.7,36.32,97.6,0.5,Sleeping
40.7,35.48,85.9,0.5,Unconscious
59,36.29,97.9,0.5,Sleeping
105.2,37.07,91.5,9.5,Seizure
96,37.01,97.3,5.4,Walking
143,37.52,95,9,Running
70.9,36.69,97,1.3,Awake/Idle
60.9,36.74,97,0.5,Meditation
40.1,35.61,83.2,0.5,Unconscious
57.9,36.7,97.7,0.8,Meditation
46.2,35.94,91.7,0.4,Fainting
68.2,36.72,97.2,2,Awake/Idle
39.7,35.76,83.5,0.3,Unconscious
38.1,35.81,84.7,0.5,Unconscious
59.3,36.38,98.2,0.6,Sleeping
102,37.25,97,2.2,Post-Workout
71.9,36.72,96.8,2.1,Awake/Idle
44.4,36.13,88.7,0.6,Fainting
150.1,37.36,95,9.2,Running
118.8,37.1,91.5,9.5,Seizure
97.1,36.94,98.7,5.3,Walking
79.3,36.6,78.4,1.4,Hypoxia
39.3,35.62,82,0.5,Unconscious
61.5,36.73,97.5,0.6,Meditation
82.3,36.4,80.8,0.6,Hypoxia
78.3,36.56,78.9,0.8,Hypoxia
145.2,37.56,95.1,9.2,Running
56.4,36.32,96.2,0.4,Sleeping
38.2,35.9,85.6,0.5,Unconscious
70.8,36.78,97.1,2.4,Awake/Idle
91.9,36.98,97.4,5.1,Walking
68.8,36.76,98.5,1.7,Awake/Idle
38.7,35.98,84.1,0.6,Unconscious
38.1,35.85,86.2,0.7,Unconscious
60.7,36.34,98.4,0.3,Sleeping
122.1,36.75,94.7,3.9,Stress/Panic
92.9,36.93,98,5.4,Walking
58.6,36.68,98.5,0.4,Meditation
94.1,36.86,98,5.6,Walking
49.4,35.93,91.2,0.4,Fainting
58.5,36.72,97.4,0.6,Meditation
69.5,36.7,97,1.9,Awake/Idle
116,36.83,94.4,3.4,Stress/Panic
67,36.77,97,1.2,Awake/Idle
150.4,37.45,95.1,9,Running
41.8,35.97,90.3,0.5,Fainting
66.8,36.75,98.1,2.2,Awake/Idle
95.5,37.05,97.1,5.7,Walking
112.5,37.06,90.7,9.5,Seizure
84.1,36.48,80.8,1.2,Hypoxia
82.7,36.63,81.2,0.9,Hypoxia
59.5,36.44,97,0.7,Sleeping
110.6,36.95,94.1,3.4,Stress/Panic
114.8,36.89,93.8,4.2,Stress/Panic
78.5,36.55,80.8,1.1,Hypoxia
95.8,36.94,97.3,4.9,Walking
121.1,37.02,91.1,9.3,Seizure
59.2,36.76,96.9,0.5,Meditation
42.9,35.58,84,0.7,Unconscious
49.5,35.91,90.2,0.5,Fainting
115.6,37.05,90.6,9.5,Seizure
41,35.51,86.8,0.7,Unconscious
119.2,37.01,90.5,9.7,Seizure
100.9,36.97,98.1,6.1,Walking
152.3,37.55,95.9,8.9,Running
42.1,35.7,84.6,0.5,Unconscious
41.6,35.66,85.3,0.5,Unconscious
70.4,36.79,97.9,1.9,Awake/Idle
97,36.95,98,5.5,Walking
57.7,36.33,97.4,0.6,Sleeping
57,36.47,97.8,0.4,Sleeping
70.3,36.8,98,2.1,Awake/Idle
56.8,36.69,97.4,0.6,Meditation
49.3,35.78,90.9,0.6,Fainting
93.3,36.95,97,5.5,Walking
96.4,36.94,97.6,5.9,Walking
112.8,36.9,94.4,3.5,Stress/Panic
62,36.67,97.8,0.4,Meditation
82.5,36.48,77,1.5,Hypoxia
117.8,36.86,89.9,9.5,Seizure
117.3,37.09,90.6,9.3,Seizure
119.8,37.04,90,9.2,Seizure
62.3,36.72,97,0.6,Meditation
79.7,36.49,77.5,1.2,Hypoxia
69.2,36.7,97.8,2.2,Awake/Idle
48.4,35.82,88,0.5,Fainting
70.9,36.72,97.2,2,Awake/Idle
117.3,36.99,94.3,4.3,Stress/Panic
140.5,37.41,95.2,8.7,Running
98.4,36.99,97.7,5,Walking
47,35.96,89.6,0.6,Fainting
57.3,36.34,97.2,0.8,Sleeping
119.7,36.88,95.1,3.4,Stress/Panic
106.9,37.28,98.7,2.2,Post-Workout
42.7,35.79,83.7,0.8,Unconscious
55.2,36.45,96.9,0.4,Sleeping
56.9,36.33,98.1,0.2,Sleeping
143.6,37.74,95.1,9.1,Running
75.7,36.65,83.1,0.8,Hypoxia
60.8,36.68,97.5,0.5,Meditation
151.7,37.35,94.8,9.5,Running
44.9,35.9,88.2,0.4,Fainting
101.6,37.26,98.4,1.8,Post-Workout
47.6,35.99,89.8,0.6,Fainting
43,36.06,90.8,0.3,Fainting
118.1,36.78,94.8,3.2,Stress/Panic
77.7,36.52,81.6,1,Hypoxia
59.7,36.6,97.1,0.6,Meditation
80,36.47,75.6,0.9,Hypoxia
113.7,37.11,90.9,9.4,Seizure
88.8,36.95,98,5.5,Walking
42.4,35.67,86.2,0.6,Unconscious
114,36.82,94.4,3.5,Stress/Panic
58.8,36.72,97.5,0.3,Meditation
41.1,35.85,85.2,0.4,Unconscious
64.9,36.71,96.4,0.6,Meditation
149.7,37.44,94.4,8.7,Running
152.6,37.53,95.6,9.2,Running
56.8,36.39,97.7,0.8,Sleeping
41.7,35.84,84.7,0.2,Unconscious
64,36.66,97,0.5,Meditation
41.7,35.89,84.9,0.5,Unconscious
148.2,37.47,95.8,9.2,Running
76.6,36.45,82.2,0.8,Hypoxia
40.9,35.68,86.3,0.4,Unconscious
45,35.98,90.5,0.6,Fainting
99.8,37.2,98.3,1.6,Post-Workout
115.1,36.92,94.3,3.3,Stress/Panic
70.9,36.75,97.7,2.2,Awake/Idle
113.7,36.82,94.8,3.5,Stress/Panic
56.7,36.32,96.6,0.8,Sleeping
45.1,35.91,89.1,0.4,Fainting
58.6,36.76,98.5,0.4,Meditation
144.8,37.63,94.3,9,Running
56.8,36.38,97.2,0.4,Sleeping
63.9,36.71,98.2,0.6,Meditation
105.1,37.26,97.8,2.1,Post-Workout
97.4,36.9,97.1,5.4,Walking
125,36.96,92.4,9.5,Seizure
43,36.03,91.1,0.8,Fainting
114.8,36.82,94.1,3.3,Stress/Panic
47,36.09,91.4,0.3,Fainting
68.1,36.8,98.2,2.3,Awake/Idle
42.4,36.05,89.5,0.4,Fainting
40,35.64,86.9,0.4,Unconscious
45,35.96,90.1,0.4,Fainting
103.5,37.21,97.7,2,Post-Workout
102.1,37.2,98.2,2,Post-Workout
69.3,36.75,97.8,1.9,Awake/Idle
108.3,37.26,97.4,2.1,Post-Workout
45.3,35.94,88.3,0.7,Fainting
113.4,36.86,94.6,3.5,Stress/Panic
91.4,36.88,96.8,5.4,Walking
91.9,36.91,97.5,5.9,Walking
145.2,37.68,96.3,9.3,Running
69.3,36.72,97.1,1.8,Awake/Idle
107.7,37.25,97.2,1.5,Post-Workout
115.2,36.73,94.7,3.8,Stress/Panic
97,36.96,97.4,5.6,Walking
119.7,37.13,91.9,9.5,Seizure
105.5,37.27,96.9,1.8,Post-Workout
45.4,36.02,90.6,0.4,Fainting
69.1,36.73,98.5,2.1,Awake/Idle
59.1,36.65,98.3,0.6,Meditation
96.5,36.94,97.1,5.3,Walking
72.1,36.79,98.2,2,Awake/Idle
119.8,36.98,91.8,9.6,Seizure
72.1,36.76,97.5,2.4,Awake/Idle
64.6,36.67,97.2,0.6,Meditation
60.8,36.72,97.4,0.4,Meditation
43.2,36.1,89.4,0.5,Fainting
69.4,36.73,96.6,2.5,Awake/Idle
57.9,36.28,98.1,0.5,Sleeping
67.5,36.77,98.4,2.3,Awake/Idle
110.1,37.04,91.8,9.7,Seizure
97,36.91,96.9,5.2,Walking
39.6,35.67,85.6,0.4,Unconscious
42.1,35.55,84.5,0.7,Unconscious
116.4,36.81,94.6,4,Stress/Panic
102.2,37.24,97.3,1.9,Post-Workout
58.3,36.73,97.4,0.5,Meditation
96.2,36.93,97.1,5.7,Walking
115.8,37,91.7,9.7,Seizure
57.5,36.39,96.9,0.6,Sleeping
58.2,36.3,96.9,0.4,Sleeping
161.9,37.45,94.5,8.5,Running
108.1,37.25,98,2.2,Post-Workout
109.4,36.79,94.9,3.2,Stress/Panic
120.1,36.9,92,9.7,Seizure
70,36.68,97.7,2.2,Awake/Idle
113.9,36.79,94.4,3.1,Stress/Panic
58,36.3,97.4,0.3,Sleeping
38.4,35.75,85.7,0.5,Unconscious
71.3,36.34,78.7,1.4,Hypoxia
75.1,36.73,98.3,1.8,Awake/Idle
119.2,36.88,94.2,3.2,Stress/Panic
111.5,36.86,94.5,3.7,Stress/Panic
59.6,36.66,97.3,0.5,Meditation
44,36.13,90.3,0.3,Fainting
86.2,36.49,77.4,1.4,Hypoxia
96.7,36.93,98,5.2,Walking
