HeartRate_bpm,Temperature_C,SpO2_percent,MotionLevel,State
44,35.9,90,0,Fainting
60,36.5,99,1,Sleeping
64,36.6,97,0,Sleeping
60,36.3,97,0,Sleeping
52,36.4,95,1,Sleeping
63,36.5,100,0,Sleeping
54,36.3,96,0,Sleeping
58,36.4,96,1,Sleeping
65,36.3,97,1,Sleeping
55,36.1,96,1,Sleeping
64,36.2,96,0,Sleeping
93,36.5,76,2,Hypoxia
82,36.2,71,0,Hypoxia
81,36.5,81,1,Hypoxia
92,36.2,70,1,Hypoxia
73,36.8,80,1,Hypoxia
93,36.3,75,2,Hypoxia
60,36.1,72,1,Hypoxia
93,36.9,90,1,Hypoxia
76,37,77,2,Hypoxia
82,36.3,89,0,Hypoxia
59,36.6,97,1,Meditation
61,36.6,99,0,Meditation
64,36.7,98,1,Meditation
64,36.8,96,1,Meditation
54,36.7,99,1,Meditation
64,36.9,99,0,Meditation
66,36.5,95,0,Meditation
56,36.6,95,1,Meditation
53,36.6,100,1,Meditation
65,36.5,96,1,Meditation
67,36.9,98,1,Meditation
55,36.6,96,1,Meditation
58,36.7,97,0,Meditation
66,36.6,97,0,Meditation
66,36.8,95,0,Meditation
50,36.6,95,1,Meditation
53,36.6,98,1,Meditation
60,36.8,99,1,Meditation
60,36.9,98,1,Meditation
56,36.7,95,1,Meditation
66,36.7,99,0,Meditation
64,36.7,98,1,Meditation
66,36.7,98,1,Meditation
51,36.5,96,0,Meditation
60,36.8,100,0,Meditation
60,36.8,95,1,Meditation
50,36.5,100,0,Meditation
57,36.7,95,1,Meditation
63,36.6,96,1,Meditation
69,36.8,99,0,Meditation
59,36.9,96,1,Meditation
52,36.8,96,0,Meditation
56,36.6,100,1,Meditation
60,36.6,100,1,Meditation
51,36.5,97,0,Meditation
51,36.9,99,1,Meditation
52,36.7,96,1,Meditation
68,36.7,97,1,Meditation
69,36.6,100,1,Meditation
65,36.7,96,0,Meditation
126,36.7,92,10,Seizure
96,37,93,9,Seizure
99,36.6,90,10,Seizure
104,36.9,92,10,Seizure
97,37.4,90,10,Seizure
101,36.9,92,9,Seizure
138,37.2,92,9,Seizure
122,36.8,90,10,Seizure
125,37,90,9,Seizure
107,36.9,93,10,Seizure
58,36.2,96,0,Sleeping
59,36.6,100,0,Sleeping
54,36.3,99,1,Sleeping
59,36.6,98,0,Sleeping
54,36,99,1,Sleeping
54,36.1,100,0,Sleeping
55,36.4,97,1,Sleeping
64,36.2,97,1,Sleeping
57,36.7,96,0,Sleeping
60,36,95,0,Sleeping
66,36.6,98,3,Awake/Idle
67,36.7,100,3,Awake/Idle
63,36.9,100,1,Awake/Idle
61,36.9,99,2,Awake/Idle
68,36.8,98,2,Awake/Idle
61,36.9,98,2,Awake/Idle
75,36.6,98,3,Awake/Idle
76,36.9,97,2,Awake/Idle
80,36.5,95,2,Awake/Idle
80,36.7,97,1,Awake/Idle
33,35.5,87,0,Unconscious
32,35,88,1,Unconscious
45,36.5,80,1,Unconscious
50,35.1,87,0,Unconscious
32,36,81,0,Unconscious
38,35.1,84,1,Unconscious
43,35.1,87,1,Unconscious
45,36.5,89,0,Unconscious
40,35.1,88,1,Unconscious
37,35.6,82,0,Unconscious
135,37.2,94,10,Running
179,37.3,95,9,Running
121,37,95,10,Running
166,37.5,93,8,Running
177,37.4,96,10,Running
128,37.1,92,9,Running
179,37,97,8,Running
170,37.7,92,8,Running
155,37.5,97,10,Running
167,37.8,92,10,Running
101,36.9,99,6,Walking
86,37.2,96,4,Walking
88,37.1,95,4,Walking
89,36.9,96,4,Walking
100,36.8,99,6,Walking
102,37.2,96,4,Walking
108,36.9,100,5,Walking
107,36.8,96,6,Walking
101,36.7,95,6,Walking
104,37,95,6,Walking
38,36.2,95,0,Fainting
53,36.2,88,0,Fainting
30,36.5,90,1,Fainting
59,36,88,0,Fainting
42,36,90,1,Fainting
31,36.1,91,1,Fainting
51,35.9,88,0,Fainting
34,36.4,89,1,Fainting
34,35.9,85,0,Fainting
43,36,93,1,Fainting
102,36.5,96,2,Stress/Panic
105,37,96,2,Stress/Panic
109,36.6,96,4,Stress/Panic
102,36.9,95,3,Stress/Panic
124,36.7,94,4,Stress/Panic
100,36.8,93,5,Stress/Panic
106,37,94,2,Stress/Panic
103,37.1,96,3,Stress/Panic
128,36.6,94,4,Stress/Panic
122,36.9,96,4,Stress/Panic
49,35.1,86,1,Unconscious
34,35.7,89,0,Unconscious
50,35.2,87,1,Unconscious
48,35.1,86,1,Unconscious
46,35.3,86,1,Unconscious
35,36.3,84,0,Unconscious
36,35.6,85,1,Unconscious
34,35.8,89,1,Unconscious
34,35.6,89,1,Unconscious
36,35.8,82,1,Unconscious
118,36.6,96,2,Stress/Panic
113,36.9,93,4,Stress/Panic
126,37.2,96,4,Stress/Panic
121,36.8,94,3,Stress/Panic
111,37.1,94,5,Stress/Panic
100,37.1,94,2,Stress/Panic
105,36.9,94,5,Stress/Panic
110,36.9,94,5,Stress/Panic
115,36.9,94,2,Stress/Panic
119,36.7,93,3,Stress/Panic
34,35.9,88,0,Unconscious
50,35.2,85,1,Unconscious
39,36.3,80,0,Unconscious
32,35.4,83,1,Unconscious
47,35.3,80,1,Unconscious
46,35.7,80,1,Unconscious
42,35.5,87,0,Unconscious
38,35.6,89,1,Unconscious
34,35.7,87,0,Unconscious
50,35.4,83,1,Unconscious
138,37.1,93,10,Running
122,37.3,97,10,Running
177,37.4,96,8,Running
144,37.3,95,8,Running
162,37.4,92,9,Running
169,37.1,92,10,Running
143,37.3,98,8,Running
161,37.2,97,8,Running
179,37.9,92,8,Running
123,38,96,8,Running
87,36.8,98,6,Walking
83,36.9,96,6,Walking
107,37,95,6,Walking
96,36.9,100,6,Walking
88,37,98,5,Walking
80,36.8,97,4,Walking
103,37,97,7,Walking
108,37,98,5,Walking
96,37,100,5,Walking
88,37,97,6,Walking
61,36.6,99,3,Awake/Idle
70,36.7,100,1,Awake/Idle
71,36.6,96,3,Awake/Idle
80,37,96,3,Awake/Idle
69,36.5,100,2,Awake/Idle
71,36.7,97,2,Awake/Idle
63,36.9,98,3,Awake/Idle
61,36.6,100,1,Awake/Idle
71,36.7,100,3,Awake/Idle
67,36.8,95,2,Awake/Idle
118,36.8,88,9,Seizure
94,36.8,91,9,Seizure
115,36.8,88,9,Seizure
108,37.2,88,10,Seizure
114,37.1,89,10,Seizure
137,37.2,95,10,Seizure
128,36.8,94,9,Seizure
127,36.5,93,10,Seizure
98,36.9,92,9,Seizure
123,37.4,88,9,Seizure
52,35.8,95,1,Fainting
46,35.6,91,0,Fainting
60,35.8,93,1,Fainting
50,36,86,1,Fainting
49,35.8,86,0,Fainting
32,35.5,89,0,Fainting
43,35.8,95,1,Fainting
38,35.6,88,0,Fainting
36,35.7,95,0,Fainting
37,35.8,87,1,Fainting
54,36.3,100,1,Sleeping
60,36,98,1,Sleeping
54,36,96,1,Sleeping
65,36.2,97,0,Sleeping
58,36.1,98,1,Sleeping
62,36.1,96,1,Sleeping
57,36.4,100,1,Sleeping
53,36.7,95,0,Sleeping
54,36.1,99,1,Sleeping
59,36.6,97,1,Sleeping
61,36.2,81,0,Hypoxia
97,36.4,87,0,Hypoxia
64,36.8,88,2,Hypoxia
96,36.6,91,0,Hypoxia
79,37,77,2,Hypoxia
62,36.9,77,1,Hypoxia
96,36.3,91,2,Hypoxia
75,37,80,0,Hypoxia
98,36.2,80,0,Hypoxia
69,36.3,84,2,Hypoxia
103,37.2,94,10,Seizure
135,37.2,94,10,Seizure
123,37.1,89,10,Seizure
100,36.6,93,9,Seizure
138,36.9,91,9,Seizure
135,36.6,88,9,Seizure
129,37,91,9,Seizure
129,37.5,92,10,Seizure
108,37.1,88,9,Seizure
107,37.3,95,10,Seizure
112,36.5,95,10,Seizure
111,36.8,89,10,Seizure
104,36.7,89,9,Seizure
90,36.6,94,9,Seizure
135,36.9,88,10,Seizure
111,36.8,95,10,Seizure
130,36.7,92,10,Seizure
91,37,90,9,Seizure
120,37.2,94,9,Seizure
92,37.1,88,9,Seizure
60,36.6,95,1,Sleeping
57,36.1,95,1,Sleeping
55,36.7,98,1,Sleeping
56,36.1,96,0,Sleeping
64,36.5,100,0,Sleeping
51,36.6,95,1,Sleeping
60,36.6,97,1,Sleeping
61,36.3,100,1,Sleeping
53,36.5,97,0,Sleeping
65,36.7,100,1,Sleeping
150,37.8,97,10,Running
156,37.1,97,9,Running
178,37.8,97,8,Running
161,37.4,95,10,Running
149,37.3,97,10,Running
127,37.9,93,8,Running
129,37.7,96,9,Running
170,37.1,98,9,Running
127,37.4,98,9,Running
131,37.5,96,8,Running
107,37.1,100,3,Post-Workout
107,37.2,100,3,Post-Workout
112,37.4,95,3,Post-Workout
95,37.2,97,3,Post-Workout
118,37,95,2,Post-Workout
105,37.3,98,3,Post-Workout
116,37.3,97,1,Post-Workout
103,37.5,96,1,Post-Workout
116,37.3,98,3,Post-Workout
101,37.5,97,3,Post-Workout
61,36.6,96,1,Meditation
56,36.7,96,1,Meditation
61,36.8,95,0,Meditation
57,36.8,97,1,Meditation
52,36.6,98,0,Meditation
55,36.6,100,1,Meditation
61,36.7,98,0,Meditation
58,36.7,98,0,Meditation
54,36.7,99,0,Meditation
66,36.8,100,1,Meditation
108,37.2,88,10,Seizure
96,37.2,92,10,Seizure
128,36.5,89,9,Seizure
136,37,89,9,Seizure
119,37.2,90,9,Seizure
105,37.1,95,10,Seizure
99,36.6,90,9,Seizure
129,37.1,88,10,Seizure
110,37.2,91,10,Seizure
101,37.3,92,9,Seizure
61,36.9,100,1,Awake/Idle
64,36.5,95,1,Awake/Idle
72,36.7,95,3,Awake/Idle
80,36.6,95,1,Awake/Idle
69,36.9,100,1,Awake/Idle
79,36.8,95,2,Awake/Idle
65,37,99,1,Awake/Idle
69,36.9,98,2,Awake/Idle
75,36.8,99,3,Awake/Idle
69,36.6,98,2,Awake/Idle
84,36.2,71,1,Hypoxia
99,36.8,83,1,Hypoxia
87,36.7,76,1,Hypoxia
89,36.8,88,1,Hypoxia
78,36.6,85,2,Hypoxia
91,36.1,80,1,Hypoxia
81,36.2,76,1,Hypoxia
82,36.2,73,2,Hypoxia
90,36.3,74,2,Hypoxia
94,36.2,89,1,Hypoxia
106,36.5,93,4,Stress/Panic
117,36.6,93,2,Stress/Panic
124,36.7,93,5,Stress/Panic
104,37,95,5,Stress/Panic
127,36.6,93,2,Stress/Panic
126,37.1,96,5,Stress/Panic
126,37.1,95,5,Stress/Panic
108,36.6,93,4,Stress/Panic
113,36.8,93,3,Stress/Panic
122,36.8,94,5,Stress/Panic
107,36.6,88,9,Seizure
90,37.3,89,9,Seizure
130,36.7,89,10,Seizure
136,37.4,94,10,Seizure
102,37.4,95,9,Seizure
102,36.7,94,9,Seizure
108,37.4,93,9,Seizure
125,37.3,92,9,Seizure
135,37,91,10,Seizure
130,36.6,88,9,Seizure
99,36,90,0,Hypoxia
67,36.1,87,0,Hypoxia
70,36.4,77,1,Hypoxia
64,36.2,85,0,Hypoxia
98,36.5,86,0,Hypoxia
92,36.4,80,2,Hypoxia
84,36.4,70,1,Hypoxia
89,36.8,84,0,Hypoxia
80,36.3,89,1,Hypoxia
72,36.2,74,0,Hypoxia
50,36.2,96,1,Sleeping
60,36.4,97,1,Sleeping
54,36.4,100,0,Sleeping
62,36.2,97,1,Sleeping
54,36.3,97,1,Sleeping
62,36.1,96,0,Sleeping
65,36.3,96,1,Sleeping
54,36.4,96,0,Sleeping
58,36.4,97,1,Sleeping
53,36.6,99,1,Sleeping
78,36.8,95,1,Awake/Idle
60,37,98,1,Awake/Idle
79,36.9,99,2,Awake/Idle
78,36.6,96,3,Awake/Idle
72,36.8,96,3,Awake/Idle
64,36.8,100,3,Awake/Idle
75,36.7,99,1,Awake/Idle
79,36.8,99,1,Awake/Idle
61,36.6,95,1,Awake/Idle
61,37,96,1,Awake/Idle
118,36.7,91,10,Seizure
107,37.3,89,9,Seizure
120,36.6,91,10,Seizure
116,36.6,88,9,Seizure
123,36.8,93,10,Seizure
107,37.1,90,9,Seizure
112,37.1,94,10,Seizure
137,36.5,89,10,Seizure
134,36.5,90,10,Seizure
116,36.8,91,9,Seizure
91,37.2,98,3,Post-Workout
90,37.4,95,2,Post-Workout
92,37.4,97,3,Post-Workout
102,37.3,95,2,Post-Workout
113,37.4,95,1,Post-Workout
115,37,98,1,Post-Workout
114,37.5,99,1,Post-Workout
107,37.5,97,3,Post-Workout
120,37.1,97,3,Post-Workout
104,37.2,100,2,Post-Workout
100,37,94,5,Stress/Panic
113,36.8,95,4,Stress/Panic
129,36.6,93,4,Stress/Panic
128,36.9,94,5,Stress/Panic
109,36.9,94,4,Stress/Panic
116,36.6,93,5,Stress/Panic
107,36.9,94,4,Stress/Panic
128,36.7,94,5,Stress/Panic
122,36.8,96,3,Stress/Panic
129,37.1,93,3,Stress/Panic
36,35.8,90,1,Fainting
41,35.5,88,1,Fainting
51,35.8,88,1,Fainting
45,35.6,87,1,Fainting
34,36.4,92,0,Fainting
59,35.6,90,1,Fainting
30,35.6,92,0,Fainting
32,36.3,88,1,Fainting
49,36.1,87,1,Fainting
52,36.3,92,0,Fainting
56,36.3,99,1,Sleeping
50,36,98,0,Sleeping
61,36.1,99,0,Sleeping
50,36.2,96,1,Sleeping
59,36.2,98,1,Sleeping
59,36.5,96,0,Sleeping
57,36.2,95,1,Sleeping
58,36.5,96,1,Sleeping
55,36.6,99,1,Sleeping
54,36.1,95,1,Sleeping
56,36,91,0,Fainting
47,35.9,90,0,Fainting
52,36.5,90,0,Fainting
32,36,89,1,Fainting
49,36.3,89,1,Fainting
33,36.2,88,1,Fainting
40,35.9,94,1,Fainting
52,35.9,94,1,Fainting
43,35.6,88,0,Fainting
36,36.4,94,1,Fainting
144,37.8,93,8,Running
124,37.8,93,10,Running
121,37.9,92,9,Running
171,37.1,98,10,Running
142,37.2,93,9,Running
162,37.4,97,10,Running
120,37.5,96,8,Running
162,37.5,94,8,Running
162,37.7,98,8,Running
145,37.2,94,9,Running
95,37.1,88,9,Seizure
137,37.1,92,9,Seizure
105,37.2,94,9,Seizure
130,37.2,88,9,Seizure
109,37.2,94,10,Seizure
139,37.3,94,10,Seizure
116,37.5,92,9,Seizure
95,36.8,91,9,Seizure
115,36.7,92,9,Seizure
140,37.2,95,10,Seizure
69,36.6,100,0,Meditation
57,36.8,99,1,Meditation
62,36.8,98,1,Meditation
61,36.6,96,1,Meditation
52,36.5,95,0,Meditation
62,36.6,100,1,Meditation
70,36.5,97,0,Meditation
66,36.8,100,1,Meditation
59,36.5,95,1,Meditation
68,36.9,100,0,Meditation
65,36.5,99,1,Sleeping
62,36.2,98,0,Sleeping
60,36.4,97,1,Sleeping
58,36.2,95,1,Sleeping
53,36.4,96,1,Sleeping
58,36.5,98,0,Sleeping
60,36.6,95,0,Sleeping
61,36.4,98,1,Sleeping
53,36.5,98,0,Sleeping
53,36.6,99,1,Sleeping
33,36.3,88,0,Fainting
45,36.2,95,0,Fainting
60,35.8,88,0,Fainting
37,36.4,89,0,Fainting
32,36.4,88,1,Fainting
35,36.2,86,0,Fainting
32,35.5,86,1,Fainting
37,36.3,92,0,Fainting
38,35.7,93,0,Fainting
44,36.2,92,0,Fainting
144,37.9,92,8,Running
152,37.6,95,8,Running
145,37.8,94,9,Running
137,37.6,97,8,Running
161,37.5,94,10,Running
177,38,92,10,Running
155,37.6,95,8,Running
151,37.4,97,9,Running
171,37.6,97,8,Running
166,37.8,96,8,Running
72,37,96,2,Awake/Idle
73,36.5,97,2,Awake/Idle
65,36.9,95,2,Awake/Idle
66,37,99,2,Awake/Idle
77,36.6,95,1,Awake/Idle
71,36.6,96,1,Awake/Idle
63,37,95,1,Awake/Idle
66,36.9,95,1,Awake/Idle
80,36.6,98,2,Awake/Idle
80,36.8,100,3,Awake/Idle
50,35.6,91,1,Fainting
41,35.7,87,0,Fainting
49,36.2,95,0,Fainting
47,36.2,87,1,Fainting
52,36.5,92,1,Fainting
39,36.1,93,0,Fainting
56,36.1,92,0,Fainting
33,36,94,1,Fainting
40,36.3,94,0,Fainting
48,36.4,85,1,Fainting
158,37.5,94,8,Running
135,37.6,92,8,Running
148,37.8,94,10,Running
154,37,96,9,Running
121,37.4,93,8,Running
161,37.6,98,10,Running
139,37.1,95,10,Running
128,37.8,95,9,Running
180,37.3,98,8,Running
167,37.5,98,10,Running
51,36.6,100,0,Meditation
64,36.5,96,0,Meditation
50,36.7,96,1,Meditation
70,36.6,96,0,Meditation
63,36.7,97,1,Meditation
62,36.9,98,0,Meditation
51,36.7,96,0,Meditation
65,36.6,95,0,Meditation
64,36.9,100,0,Meditation
63,36.7,95,0,Meditation
114,37,95,2,Post-Workout
90,37.4,99,1,Post-Workout
96,37.3,100,2,Post-Workout
103,37.3,97,2,Post-Workout
119,37.4,95,1,Post-Workout
116,37,97,2,Post-Workout
115,37.4,100,2,Post-Workout
113,37.2,97,1,Post-Workout
91,37.2,96,1,Post-Workout
96,37,97,3,Post-Workout
33,35.6,84,0,Unconscious
37,35.9,83,1,Unconscious
36,36.2,89,1,Unconscious
31,36,90,1,Unconscious
45,36,82,0,Unconscious
38,35.7,87,1,Unconscious
43,36.4,81,0,Unconscious
33,35.3,90,1,Unconscious
31,36.2,83,1,Unconscious
48,36,84,0,Unconscious
138,37.2,95,8,Running
128,37.1,97,9,Running
129,37.8,97,10,Running
153,37.5,94,8,Running
151,37.8,93,10,Running
164,37.3,98,9,Running
177,37.9,92,8,Running
120,37.5,98,8,Running
124,37.2,94,10,Running
159,37.8,94,10,Running
83,36.2,75,1,Hypoxia
79,36.4,78,2,Hypoxia
94,36.5,79,0,Hypoxia
92,36.8,82,2,Hypoxia
93,36.5,90,1,Hypoxia
84,36.3,91,2,Hypoxia
95,36.1,82,0,Hypoxia
82,36.9,72,1,Hypoxia
97,36.6,84,0,Hypoxia
69,36.1,75,0,Hypoxia
104,37.2,96,1,Post-Workout
111,37,97,2,Post-Workout
119,37.3,98,3,Post-Workout
91,37.2,99,2,Post-Workout
109,37.4,99,1,Post-Workout
119,37,95,2,Post-Workout
95,37.4,99,2,Post-Workout
120,37.3,100,3,Post-Workout
90,37.3,99,3,Post-Workout
111,37.3,96,1,Post-Workout
58,35.5,95,0,Fainting
49,35.8,85,0,Fainting
36,35.9,92,0,Fainting
45,36.1,85,0,Fainting
53,35.6,92,0,Fainting
39,36.1,94,0,Fainting
30,36.4,95,0,Fainting
37,35.6,87,1,Fainting
31,36.4,85,0,Fainting
41,35.8,86,1,Fainting
126,37.3,97,8,Running
124,37.2,95,8,Running
163,37.3,92,10,Running
171,37.5,96,8,Running
175,37.8,94,9,Running
173,37.3,96,10,Running
143,37.6,97,8,Running
178,37.3,95,10,Running
148,37.6,96,9,Running
171,37.5,94,10,Running
53,36.6,95,1,Meditation
66,36.8,96,0,Meditation
57,36.7,99,0,Meditation
70,36.7,99,0,Meditation
63,36.5,98,0,Meditation
65,36.7,97,1,Meditation
64,36.6,99,1,Meditation
58,36.6,98,0,Meditation
62,36.6,97,0,Meditation
54,36.9,96,0,Meditation
100,37.1,95,3,Stress/Panic
115,36.8,95,3,Stress/Panic
121,36.5,96,2,Stress/Panic
102,36.7,94,3,Stress/Panic
126,36.8,95,3,Stress/Panic
122,37.2,94,4,Stress/Panic
124,37,95,5,Stress/Panic
100,37.1,93,4,Stress/Panic
130,36.6,93,3,Stress/Panic
126,37.2,96,3,Stress/Panic
61,36.6,96,3,Awake/Idle
76,36.5,97,3,Awake/Idle
65,36.6,99,1,Awake/Idle
65,36.7,99,2,Awake/Idle
78,36.7,100,2,Awake/Idle
66,36.6,97,3,Awake/Idle
69,36.9,98,3,Awake/Idle
70,36.8,99,2,Awake/Idle
73,36.9,95,2,Awake/Idle
67,36.6,99,1,Awake/Idle
34,35.8,85,0,Unconscious
48,35.2,80,1,Unconscious
38,36,90,0,Unconscious
37,35.4,87,0,Unconscious
38,36,89,1,Unconscious
39,35.7,81,0,Unconscious
37,35.3,83,1,Unconscious
44,36.2,87,0,Unconscious
36,35.8,83,0,Unconscious
32,35.7,81,0,Unconscious
123,37.5,90,9,Seizure
102,37.2,94,10,Seizure
94,37.2,94,10,Seizure
130,37.5,95,10,Seizure
134,37.2,90,10,Seizure
119,37.4,89,9,Seizure
132,36.8,95,9,Seizure
97,37.3,89,10,Seizure
106,37.3,91,9,Seizure
97,36.9,93,10,Seizure
62,36.9,96,1,Meditation
69,36.6,98,1,Meditation
69,36.6,99,0,Meditation
63,36.7,100,1,Meditation
50,36.7,98,0,Meditation
61,36.7,98,0,Meditation
